Braidwood Multi-Purpose Service,77 Monkittee Street,,BRAIDWOOD,NSW,2622,Southern Highlands,Multi-Purpose Service,27,2,,Southern NSW Local Health District,State Government,Inner Regional Australia,-35.44276381,149.8054073,1795784.65
Dellacourt,42 Nicholson Place,,WEST ALBURY,NSW,2640,Riverina/Murray,Residential,122,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,-36.07540064,146.8908956,7856535.62
Brewarrina Multi-Purpose Service,56 Doyle Street,,BREWARRINA,NSW,2839,Orana Far West,Multi-Purpose Service,12,4,,Western NSW Local Health District,State Government,Very Remote Australia,-29.961591,146.864313,1194900.81
BaptistCare Maranoa Centre - Alstonville,15 The Avenue,,ALSTONVILLE,NSW,2477,Far North Coast,Residential,90,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.8407184,153.435638,6702630.42
Urana Multi-Purpose Service,127-129 Princess Street,,URANA,NSW,2645,Riverina/Murray,Multi-Purpose Service,19,,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.325391,146.267697,1371165.82
St Basil's Annandale,252 Johnston Street,,ANNANDALE,NSW,2038,Inner West,Residential,83,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.87589048,151.1727327,4991821.84
Baradine Multi-Purpose Service,5-9 Macquarie Street,,BARADINE,NSW,2396,Orana Far West,Multi-Purpose Service,14,3,,Western NSW Local Health District,State Government,Remote Australia,-30.945519,149.067008,1250718.17
Autumn Lodge Butler Street,50 Butler Street,,ARMIDALE,NSW,2350,New England,Residential,64,,,Autumn Lodge,Community Based,Inner Regional Australia,-30.503834,151.65837,3768249.15
Macquarie Lodge Aged Care Plus Centre,171 Wollongong Road,,ARNCLIFFE,NSW,2205,South East Sydney,Residential,130,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.93965582,151.1348558,8950194.74
A H Orr Lodge,27 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,60,,,Ashfield Baptist Homes Ltd,Religious,Major Cities of Australia,-33.89495522,151.1258414,3759322.53
Urbenville Multi-Purpose Service,45 Beaury Street,,URBENVILLE,NSW,2475,New England,Multi-Purpose Service,19,6,,Northern NSW Local Health District,State Government,Outer Regional Australia,-28.47155531,152.5432704,1436272.81
Ashfield Terrace Care Community,8-10 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,135,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.89595,151.127894,9002736.16
Dorrigo Multi-Purpose Service,14 Beech Street,,DORRIGO,NSW,2453,Mid North Coast,Multi-Purpose Service,21,6,,Mid North Coast Local Health District,State Government,Outer Regional Australia,-30.340795,152.713811,1511924.27
Crowley Retirement Village,154 Cherry Street,,BALLINA,NSW,2478,Far North Coast,Residential,71,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.85368951,153.5693841,5351795.93
Warren Multi-Purpose Service,Dr Kater Drive,,WARREN,NSW,2824,Orana Far West,Multi-Purpose Service,32,4,,Western NSW Local Health District,State Government,Outer Regional Australia,-31.693977,147.836194,2121941.61
Tumbarumba Multi-Purpose Service,4 Mitchell Street,,TUMBARUMBA,NSW,2653,Riverina/Murray,Multi-Purpose Service,42,10,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.77979811,148.0055303,2663768.53
Murray Haven Hostel,98 Punt Road,,BARHAM,NSW,2732,Riverina/Murray,Residential,55,,,Murray Haven Homes Limited,Community Based,Outer Regional Australia,-35.62314526,144.1331867,2811350.24
Delegate Multi-Purpose Service,15 Craigie Street,,DELEGATE,NSW,2633,Southern Highlands,Multi-Purpose Service,10,4,,Southern NSW Local Health District,State Government,Outer Regional Australia,-37.044992,148.945673,798052.64
Richardson House,24 Gotha Street,,BARRABA,NSW,2347,New England,Residential,21,,,Barraba and District Retirement Homes Association Incorporated,Community Based,Outer Regional Australia,-30.38285943,150.6051632,1419814.53
Culcairn Multi-Purpose Service,57 Balfour Street,,CULCAIRN,NSW,2660,Riverina/Murray,Multi-Purpose Service,28,2,,Murrumbidgee Local Health District,State Government,Inner Regional Australia,-35.667327,147.042488,1853096.61
Weeroona Aged Care Plus Centre,14 Trebartha Street,,BASS HILL,NSW,2197,South West Sydney,Residential,104,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.89957214,151.0034707,7449168.19
Oberon Multi-Purpose Service,67-75 North Street,,OBERON,NSW,2787,Central West,Multi-Purpose Service,14,8,,Western NSW Local Health District,State Government,Inner Regional Australia,-33.70539358,149.8530251,1140320.99
Uniting Nareen Gardens Bateau Bay,5 Yakalla Street,,BATEAU BAY,NSW,2261,Central Coast,Residential,95,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.37428044,151.4793683,5672899.16
Trangie Multi-Purpose Service,28 Harris Street,,TRANGIE,NSW,2823,Orana Far West,Multi-Purpose Service,21,2,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.02902357,147.9742714,1501029.09
Southern Cross Care Reynolds Court Residential Aged Care,7 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Residential,80,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.37655678,151.4805947,5293504.58
Trundle Multi-Purpose Service,44 Brookview Street,,TRUNDLE,NSW,2875,Central West,Multi-Purpose Service,9,,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.92132544,147.704235,648681.57
Bupa Bateau Bay,17 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Residential,101,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.37900507,151.4785501,6858534.51
RFBI Bellingen Masonic Village - JJ,15-23 Watson Street,,BELLINGEN,NSW,2454,Mid North Coast,Residential,24,,,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,-30.45592416,152.8964324,1707335.67
Uniting Narla Belmont North,21 Lentara Road,,BELMONT NORTH,NSW,2280,Hunter,Residential,40,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.02256615,151.6582985,2751703.22
Uniting Wesley Gardens Belrose,2b Morgan Road,,BELROSE,NSW,2085,Northern Sydney,Residential,145,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.7232747,151.2192574,8484729.41
St Elizabeth Home,1 Symonds Road,,DEAN PARK,NSW,2761,Western Sydney,Residential,114,,,St Elizabeth Home Limited,Religious,Major Cities of Australia,-33.73890812,150.8617045,7565987.91
Southern Cross Care Currawarna Residential Aged Care,1 Joseph Street,,BOMBALA,NSW,2632,Southern Highlands,Residential,33,,,Southern Cross Care (NSW & ACT) Limited,Religious,Outer Regional Australia,-36.91877318,149.2397608,2066249.89
Harold Williams Home,267 Eyre Street,,BROKEN HILL,NSW,2880,Orana Far West,Residential,40,,,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,-31.9743008,141.4626468,2770831.95
Aruma Lodge,Beryl Street,,BROKEN HILL,NSW,2880,Orana Far West,Residential,58,,,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,-31.943575,141.485104,3773593.87
Byron Aged Care,1 Butler Street,,BYRON BAY,NSW,2481,Far North Coast,Residential,41,,,Byron Aged Care Limited,Charitable,Inner Regional Australia,-28.64178738,153.6107986,2681075.72
Paling Court Residential Aged Care,90 Werombi Road,,GRASMERE,NSW,2570,South West Sydney,Residential,140,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,-34.05665981,150.6746141,7721437.18
IRT Lakeview Lodge,4 Ruth Place,,DALMENY,NSW,2546,Southern Highlands,Residential,36,,,Illawarra Retirement Trust,Community Based,Outer Regional Australia,-36.16733209,150.1085019,1336015.18
Moyne Aged Care Plus Centre (0033),161 Nangar Road,,CANOWINDRA,NSW,2804,Central West,Residential,34,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.56393702,148.6450084,2609011.81
IBIS Care Miranda,2c Karimbla Road,,MIRANDA,NSW,2228,South East Sydney,Residential,76,,,IBIS (No 2) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.03918489,151.1141905,5820163.37
The Laurels,45 English Street,,KOGARAH,NSW,2217,South East Sydney,Residential,27,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.9702292,151.1292062,1526587.4
Southern Cross Care St Michael's Residential Aged Care,62 Centre Street,,CASINO,NSW,2470,Far North Coast,Residential,73,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-28.872301,153.043292,5164925.05
Nuffield Village,284 Castle Hill Road,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,139,,,Anglican Community Services,Religious,Major Cities of Australia,-33.73141836,151.0225907,8056758.91
Warrina Village Hostel,2 Hilliard Drive,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,128,,,Anglican Community Services,Religious,Major Cities of Australia,-33.72850572,151.0234254,6667738.43
Brian King Gardens,1 Hilliard Drive,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,238,,,Anglican Community Services,Religious,Major Cities of Australia,-33.72850572,151.0234254,12658003.89
William Beech Gardens - Waler,1 Madline Street,,CONDOBOLIN,NSW,2877,Central West,Residential,40,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-33.08173415,147.1522513,1767891.18
Cooinda Hostel,100 Cassilis Street,,COONABARABRAN,NSW,2357,Orana Far West,Residential,37,,,Cooinda Coonabarabran Ltd,Community Based,Outer Regional Australia,-31.27408598,149.286025,2130947.73
Southern Cross Care Cootamundra Residential Aged Care,Scott Avenue,,COOTAMUNDRA,NSW,2590,Riverina/Murray,Residential,55,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-34.6335112,148.0183038,4089191.05
BaptistCare Mid Richmond Centre - Coraki,Surry Street,,CORAKI,NSW,2471,Far North Coast,Residential,49,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.994059,153.277965,3513927.4
Southern Cross Care Karinya Residential Aged Care,125 Guy Street,,COROWA,NSW,2646,Riverina/Murray,Residential,84,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-35.9886123,146.3841826,4985090.73
Illawarra Diggers,8 Blundell Parade,,CORRIMAL,NSW,2518,Illawarra,Residential,105,,,Illawarra Diggers Aged and Community Care Limited,Community Based,Major Cities of Australia,-34.36680286,150.8939735,7485932.79
Calvary St Paul's Retirement Community,54 River Street,,CUNDLETOWN,NSW,2430,Mid North Coast,Residential,40,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-31.90175824,152.5187223,3204242.87
Southern Cross Care Orana Residential Aged Care,59 Napier Street,,DENILIQUIN,NSW,2710,Riverina/Murray,Residential,50,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-35.52969114,144.9607788,3176782.62
Merton Court Hostel,91 Virginia Street,,DENMAN,NSW,2328,Hunter,Residential,17,,,Merton Living Limited,Community Based,Inner Regional Australia,-32.38966725,150.6845241,1362036.3
Catholic Healthcare St Mary's Villa,46 Darling Street,,DUBBO,NSW,2830,Orana Far West,Residential,49,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-32.23852825,148.608666,2283318.41
Maybanke Aged Care Plus Centre,80 Wardell Road,,DULWICH HILL,NSW,2203,Inner West,Residential,38,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.90848368,151.1437203,2635169.97
Wesley Tebbutt,40 A Stewart Street,,DUNDAS VALLEY,NSW,2117,Western Sydney,Residential,66,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.79859,151.06059,4188739.92
BaptistCare Cooinda Court,159 Balaclava Road,,MACQUARIE PARK,NSW,2113,Northern Sydney,Residential,68,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.777251,151.11049,4562192.82
Catholic Healthcare Jemalong Residential Village,240 Edward Street,,FORBES,NSW,2871,Central West,Residential,130,,,Catholic Healthcare Limited,Charitable,Outer Regional Australia,-33.35872232,147.9904663,7341250.78
Alexander Campbell House,51 Cook Street,,FORESTVILLE,NSW,2087,Northern Sydney,Residential,36,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-33.76389603,151.2189432,2472966.78
Uniting Caroona Jarman Goonellabah,65-101 Rous Road,,GOONELLABAH,NSW,2480,Far North Coast,Residential,80,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82564046,153.3203039,6363110.73
Hunters Hill Village,8 D'aram Street,,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,35,,,Twilight House,Community Based,Major Cities of Australia,-33.83368739,151.1523822,2209917.21
Gill Waminda Aged Care Plus Centre,4 Mary Street,,GOULBURN,NSW,2580,Southern Highlands,Residential,103,,,The Salvation Army (NSW) Property Trust,Charitable,Inner Regional Australia,-34.76210651,149.6982514,7249046.04
